2026-05-08T11:39:16Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user,password FROM users-- -
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>document.cookie</script>
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<iframe src=javascript:alert(1)>
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-001 | Script tag | BODY | mtxMessage=<script>alert('stored')</script>&Submit=Submit
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | BODY | mtxMessage=<svg onload=alert(1)>&Submit=Submit
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<ScRiPt>alert(1)</sCrIpT>
2026-05-08T11:39:19Z | 172.22.0.1 | XSS-001 | Script tag | QUERY_PARAM:name | <script>alert(1)</script>
2026-05-08T11:39:19Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/**/OR/**/1=1--
2026-05-08T11:39:19Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/*!OR*/1=1--
2026-05-08T11:41:44Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user,password FROM users-- -
2026-05-08T11:41:44Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=1' OR '1'='1
2026-05-08T11:41:44Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=' OR 1=1--
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND SLEEP(1)-- -
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'-- -
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'; DROP TABLE users--
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=0 UNION SELECT 1,2
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT 1,2--
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND 1=2--
2026-05-08T11:41:45Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | BODY | username=admin'--&Submit=Submit
2026-05-08T11:41:46Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | BODY | password=' OR '1'='1&Submit=Submit
2026-05-08T11:41:46Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T11:41:46Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<img src=x onerror=alert(1)>
2026-05-08T11:41:46Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<svg onload=alert(1)>
2026-05-08T11:41:46Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<a href=javascript:alert(1)>x</a>
2026-05-08T11:41:46Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<input onfocus=alert(1) autofocus>
2026-05-08T11:41:47Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T11:41:47Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>document.cookie</script>
2026-05-08T11:41:47Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<iframe src=javascript:alert(1)>
2026-05-08T11:41:47Z | 172.22.0.1 | XSS-001 | Script tag | BODY | mtxMessage=<script>alert('stored')</script>&Submit=Submit
2026-05-08T11:41:47Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | BODY | mtxMessage=<svg onload=alert(1)>&Submit=Submit
2026-05-08T11:41:49Z | 172.22.0.1 | SQLI-006 | SQL quote manipulation | BODY | uploaded=<?php echo 'evil'; ?>&Submit=Submit
2026-05-08T11:41:50Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<ScRiPt>alert(1)</sCrIpT>
2026-05-08T11:41:50Z | 172.22.0.1 | XSS-001 | Script tag | QUERY_PARAM:name | <script>alert(1)</script>
2026-05-08T11:41:50Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/**/OR/**/1=1--
2026-05-08T11:41:50Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/*!OR*/1=1--
2026-05-08T14:50:01Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T17:24:11Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T17:41:07Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T17:44:33Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T17:45:36Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T17:51:48Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user,password FROM users-- -
2026-05-08T17:51:49Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=1' OR '1'='1
2026-05-08T17:51:49Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=' OR 1=1--
2026-05-08T17:51:49Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND SLEEP(1)-- -
2026-05-08T17:51:49Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'-- -
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'; DROP TABLE users--
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=0 UNION SELECT 1,2
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT 1,2--
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND 1=2--
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | BODY | username=admin'--&Submit=Submit
2026-05-08T17:51:50Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | BODY | password=' OR '1'='1&Submit=Submit
2026-05-08T17:51:50Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T17:51:50Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<img src=x onerror=alert(1)>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<svg onload=alert(1)>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<a href=javascript:alert(1)>x</a>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<input onfocus=alert(1) autofocus>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>document.cookie</script>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<iframe src=javascript:alert(1)>
2026-05-08T17:51:51Z | 172.22.0.1 | XSS-001 | Script tag | BODY | mtxMessage=<script>alert('stored')</script>&Submit=Submit
2026-05-08T17:51:52Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | BODY | mtxMessage=<svg onload=alert(1)>&Submit=Submit
2026-05-08T17:51:54Z | 172.22.0.1 | SQLI-006 | SQL quote manipulation | BODY | uploaded=<?php echo 'evil'; ?>&Submit=Submit
2026-05-08T17:51:54Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<ScRiPt>alert(1)</sCrIpT>
2026-05-08T17:51:55Z | 172.22.0.1 | XSS-001 | Script tag | QUERY_PARAM:name | <script>alert(1)</script>
2026-05-08T17:51:55Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/**/OR/**/1=1--
2026-05-08T17:51:55Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/*!OR*/1=1--
2026-05-08T18:52:24Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T18:52:29Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user, password FROM users-- -&Submit=Submit
2026-05-08T20:31:04Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user,password FROM users-- -
2026-05-08T20:31:05Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=1' OR '1'='1
2026-05-08T20:31:05Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=' OR 1=1--
2026-05-08T20:31:06Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND SLEEP(1)-- -
2026-05-08T20:31:06Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'-- -
2026-05-08T20:31:06Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'; DROP TABLE users--
2026-05-08T20:31:06Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=0 UNION SELECT 1,2
2026-05-08T20:31:07Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT 1,2--
2026-05-08T20:31:07Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND 1=2--
2026-05-08T20:31:07Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | BODY | username=admin'--&Submit=Submit
2026-05-08T20:31:07Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | BODY | password=' OR '1'='1&Submit=Submit
2026-05-08T20:31:07Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<img src=x onerror=alert(1)>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<svg onload=alert(1)>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<a href=javascript:alert(1)>x</a>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<input onfocus=alert(1) autofocus>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T20:31:08Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>document.cookie</script>
2026-05-08T20:31:09Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<iframe src=javascript:alert(1)>
2026-05-08T20:31:09Z | 172.22.0.1 | XSS-001 | Script tag | BODY | mtxMessage=<script>alert('stored')</script>&Submit=Submit
2026-05-08T20:31:09Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | BODY | mtxMessage=<svg onload=alert(1)>&Submit=Submit
2026-05-08T20:31:11Z | 172.22.0.1 | SQLI-006 | SQL quote manipulation | BODY | uploaded=<?php echo 'evil'; ?>&Submit=Submit
2026-05-08T20:31:12Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<ScRiPt>alert(1)</sCrIpT>
2026-05-08T20:31:12Z | 172.22.0.1 | XSS-001 | Script tag | QUERY_PARAM:name | <script>alert(1)</script>
2026-05-08T20:31:12Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/**/OR/**/1=1--
2026-05-08T20:31:13Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'/*!OR*/1=1--
